id,name,name_reverse,class,label,subject_class,object_class,new_class
2909,Grundlagen der Elektrotechnik und theoretische Elektrotechnik,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Grundlagen der Elektrotechnik und theoretische Elektrotechnik,person,institution,PositionAn
2910,Handels- und Wechselrecht und bürgerliches Recht,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Handels- und Wechselrecht und bürgerliches Recht,person,institution,PositionAn
2911,Histologie,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Histologie,person,institution,PositionAn
2912,Histologie und Embryologie,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Histologie und Embryologie,person,institution,PositionAn
2913,historische und politische Geographie,,person institution relation,hat Position inne >> Priv.-Doz. >> >> historische und politische Geographie,person,institution,PositionAn
2914,höhere Geodäsie,,person institution relation,hat Position inne >> Priv.-Doz. >> >> höhere Geodäsie,person,institution,PositionAn
2915,höhere Geodäsie und angewandte Geophysik,,person institution relation,hat Position inne >> Priv.-Doz. >> >> höhere Geodäsie und angewandte Geophysik,person,institution,PositionAn
2916,höhere Geodäsie und sphärische Astronomie,,person institution relation,hat Position inne >> Priv.-Doz. >> >> höhere Geodäsie und sphärische Astronomie,person,institution,PositionAn
2917,höhere Ingenieur-Wissenschaften,,person institution relation,hat Position inne >> Priv.-Doz. >> >> höhere Ingenieur-Wissenschaften,person,institution,PositionAn
2918,höhere Mathematik,,person institution relation,hat Position inne >> Priv.-Doz. >> >> höhere Mathematik,person,institution,PositionAn
2919,höhere Mathematik und Physik,,person institution relation,hat Position inne >> Priv.-Doz. >> >> höhere Mathematik und Physik,person,institution,PositionAn
2920,höhere Mechanik,,person institution relation,hat Position inne >> Priv.-Doz. >> >> höhere Mechanik,person,institution,PositionAn
2921,indische und iranische Philologie,,person institution relation,hat Position inne >> Priv.-Doz. >> >> indische und iranische Philologie,person,institution,PositionAn
2922,indogermanische Sprachwissenschaft,,person institution relation,hat Position inne >> Priv.-Doz. >> >> indogermanische Sprachwissenschaft,person,institution,PositionAn
2923,Indologie,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Indologie,person,institution,PositionAn
2924,Kirchenrecht,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Kirchenrecht,person,institution,PositionAn
2925,Kirchenrecht und deutsches Recht,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Kirchenrecht und deutsches Recht,person,institution,PositionAn
2926,klassische Archäologie,,person institution relation,hat Position inne >> Priv.-Doz. >> >> klassische Archäologie,person,institution,PositionAn
2927,klassische Archäologie mit besonderer Berücksichtigung der Feldarchäologie und der römischen Altertumskunde,,person institution relation,hat Position inne >> Priv.-Doz. >> >> klassische Archäologie mit besonderer Berücksichtigung der Feldarchäologie und der römischen Altertumskunde,person,institution,PositionAn
2928,klassische Archäologie mit besonderer Berücksichtigung der römischen Provinzialarchäologie,,person institution relation,hat Position inne >> Priv.-Doz. >> >> klassische Archäologie mit besonderer Berücksichtigung der römischen Provinzialarchäologie,person,institution,PositionAn
2929,klassische Philologie,,person institution relation,hat Position inne >> Priv.-Doz. >> >> klassische Philologie,person,institution,PositionAn
2930,kosmische Physik,,person institution relation,hat Position inne >> Priv.-Doz. >> >> kosmische Physik,person,institution,PositionAn
2931,Kunstgeschichte,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Kunstgeschichte,person,institution,PositionAn
2932,Kunstgeschichte mit besonderer Berücksichtigung der byzantinischen und österreichischen Kunst,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Kunstgeschichte mit besonderer Berücksichtigung der byzantinischen und österreichischen Kunst,person,institution,PositionAn
2933,Mathematik,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Mathematik,person,institution,PositionAn
2934,mathematische Physik,,person institution relation,hat Position inne >> Priv.-Doz. >> >> mathematische Physik,person,institution,PositionAn
2935,Mechanik,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Mechanik,person,institution,PositionAn
2936,Mechanik und Maschinenlehre,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Mechanik und Maschinenlehre,person,institution,PositionAn
2937,mechanische Technologie und Materialprüfungswesen,,person institution relation,hat Position inne >> Priv.-Doz. >> >> mechanische Technologie und Materialprüfungswesen,person,institution,PositionAn
2938,medizinische Klinik,,person institution relation,hat Position inne >> Priv.-Doz. >> >> medizinische Klinik,person,institution,PositionAn
2939,Meteorologie,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Meteorologie,person,institution,PositionAn
2940,Meteorologie und Geophysik,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Meteorologie und Geophysik,person,institution,PositionAn
2941,Meteorologie und Geophysik und Ozeanographie,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Meteorologie und Geophysik und Ozeanographie,person,institution,PositionAn
2942,Mineralogie,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Mineralogie,person,institution,PositionAn
2943,Mineralogie mit Gesteinskunde und Kristallchemie,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Mineralogie mit Gesteinskunde und Kristallchemie,person,institution,PositionAn
2944,Mineralogie und Geologie,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Mineralogie und Geologie,person,institution,PositionAn
2945,Mineralogie und Petrographie,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Mineralogie und Petrographie,person,institution,PositionAn
2946,Mineralogie und Technische Geologie,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Mineralogie und Technische Geologie,person,institution,PositionAn
2947,"Mineralogie, Geognosie und Botanik",,person institution relation,"hat Position inne >> Priv.-Doz. >> >> Mineralogie, Geognosie und Botanik",person,institution,PositionAn
2948,mittelalterliche und Landesgeschichte,,person institution relation,hat Position inne >> Priv.-Doz. >> >> mittelalterliche und Landesgeschichte,person,institution,PositionAn
2949,mittlere und neuere Geschichte,,person institution relation,hat Position inne >> Priv.-Doz. >> >> mittlere und neuere Geschichte,person,institution,PositionAn
